bps_kode_provinsi;bps_nama_provinsi;bps_kode_kabupaten_kota;bps_nama_kabupaten_kota;tahun;tahap_kegiatan;jumlah_perusahaan;satuan;;;
11;Aceh;1174;Kota Lhokseumawe;2024;Jasa Penambangan;;Unit;;;
11;Aceh;1175;Kota Subulussalam;2024;Jasa Penambangan;;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2024;Pengangkutan dan Penjualan;1;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2024;Pengangkutan dan Penjualan;2;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2024;Pengangkutan dan Penjualan;1;Unit;;;
11;Aceh;1172;Kota Sabang;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1173;Kota Langsa;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2024;Pengangkutan dan Penjualan;;Unit;;;
11;Aceh;1175;Kota Subulussalam;2024;Pengangkutan dan Penjualan;;Unit;;   ;
11;Aceh;1101;Kabupaten Simeulue;2024;Penjualan;;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2024;Penjualan;;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2024;Penjualan;;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2024;Penjualan;;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2024;Penjualan;;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2024;Penjualan;;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2024;Penjualan;;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2024;Penjualan;;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2024;Penjualan;;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2024;Penjualan;1;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2024;Penjualan;;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2024;Penjualan;;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2024;Penjualan;;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2024;Penjualan;;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2024;Penjualan;;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2024;Penjualan;;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2024;Penjualan;;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2024;Penjualan;;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2024;Penjualan;;Unit;;;
11;Aceh;1172;Kota Sabang;2024;Penjualan;;Unit;;;
11;Aceh;1173;Kota Langsa;2024;Penjualan;;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2024;Penjualan;;Unit;;;
11;Aceh;1175;Kota Subulussalam;2024;Penjualan;;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2023;Eksplorasi;0;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2023;Eksplorasi;2;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2023;Eksplorasi;4;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2023;Eksplorasi;1;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2023;Eksplorasi;3;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2023;Eksplorasi;5;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2023;Eksplorasi;5;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2023;Eksplorasi;4;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2023;Eksplorasi;9;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2023;Eksplorasi;4;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2023;Eksplorasi;2;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2023;Eksplorasi;3;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2023;Eksplorasi;2;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2023;Eksplorasi;6;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2023;Eksplorasi;8;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2023;Eksplorasi;11;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2023;Eksplorasi;0;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2023;Eksplorasi;2;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2023;Eksplorasi;;Unit;;;
11;Aceh;1172;Kota Sabang;2023;Eksplorasi;;Unit;;;
11;Aceh;1173;Kota Langsa;2023;Eksplorasi;1;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2023;Eksplorasi;2;Unit;;;
11;Aceh;1175;Kota Subulussalam;2023;Eksplorasi;4;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2023;Operasi Produksi;4;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2023;Operasi Produksi;6;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2023;Operasi Produksi;7;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2023;Operasi Produksi;5;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2023;Operasi Produksi;10;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2023;Operasi Produksi;11;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2023;Operasi Produksi;13;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2023;Operasi Produksi;20;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2023;Operasi Produksi;21;Unit;;;
11;Aceh;1110;Kabupaten Bireuen;2023;Operasi Produksi;21;Unit;;;
11;Aceh;1111;Kabupaten Aceh Utara;2023;Operasi Produksi;10;Unit;;;
11;Aceh;1112;Kabupatan Aceh Barat Daya;2023;Operasi Produksi;14;Unit;;;
11;Aceh;1113;Kabupaten Gayo Lues;2023;Operasi Produksi;2;Unit;;;
11;Aceh;1114;Kabupaten Aceh Tamiang;2023;Operasi Produksi;26;Unit;;;
11;Aceh;1115;Kabupaten Nagan Raya;2023;Operasi Produksi;18;Unit;;;
11;Aceh;1116;Kabupaten Aceh Jaya;2023;Operasi Produksi;13;Unit;;;
11;Aceh;1117;Kabupaten Bener Meriah;2023;Operasi Produksi;6;Unit;;;
11;Aceh;1118;Kabupaten Pidie Jaya;2023;Operasi Produksi;11;Unit;;;
11;Aceh;1171;Kota Banda Aceh;2023;Operasi Produksi;;Unit;;;
11;Aceh;1172;Kota Sabang;2023;Operasi Produksi;;Unit;;;
11;Aceh;1173;Kota Langsa;2023;Operasi Produksi;6;Unit;;;
11;Aceh;1174;Kota Lhokseumawe;2023;Operasi Produksi;2;Unit;;;
11;Aceh;1175;Kota Subulussalam;2023;Operasi Produksi;5;Unit;;;
11;Aceh;1101;Kabupaten Simeulue;2022;Eksplorasi;2;Unit;;;
11;Aceh;1102;Kabupaten Aceh Singkil;2022;Eksplorasi;3;Unit;;;
11;Aceh;1103;Kabupaten Aceh Selatan;2022;Eksplorasi;4;Unit;;;
11;Aceh;1104;Kabupaten Aceh Tenggara;2022;Eksplorasi;2;Unit;;;
11;Aceh;1105;Kabupaten Aceh Timur;2022;Eksplorasi;4;Unit;;;
11;Aceh;1106;Kabupaten Aceh Tengah;2022;Eksplorasi;8;Unit;;;
11;Aceh;1107;Kabupaten Aceh Barat;2022;Eksplorasi;3;Unit;;;
11;Aceh;1108;Kabupaten Aceh Besar;2022;Eksplorasi;16;Unit;;;
11;Aceh;1109;Kabupaten Pidie;2022;Eksplorasi;20;Unit;;;
